hours,Minutes,TotalMinutes,Activity done on(date),Activity done at(time),ActivityDoneTimeNumeric,Activity logged on(date),Activity logged at(time),Category,Title,Description
12,1,721,12/09/20,04:15:07,4.251944444444445,12/09/20,04:15:07,Project B,,
12,1,721,12/09/20,04:15:41,4.261388888888889,12/09/20,04:15:41,Project C,,
12,1,721,12/09/20,04:16:17,4.271388888888889,12/09/20,04:16:17,Project B,,
12,1,721,12/09/20,04:17:44,4.295555555555556,12/09/20,04:17:44,Project B,,
12,1,721,12/09/20,04:17:56,4.2988888888888885,12/09/20,04:17:56,Project B,,
12,1,721,12/09/20,04:19:34,4.326111111111111,12/09/20,04:19:34,Project B,,
12,1,721,12/09/20,04:20:09,4.335833333333333,12/09/20,04:20:09,Project B,,
12,1,721,12/09/20,04:21:13,4.35361111111111,12/09/20,04:21:13,Project B,,
12,1,721,12/09/20,04:21:32,4.358888888888888,12/09/20,04:21:32,Project B,,
12,1,721,12/09/20,04:22:19,4.371944444444444,12/09/20,04:22:19,Project B,,
12,1,721,12/09/20,04:22:32,4.375555555555555,12/09/20,04:22:32,Project C,,
12,1,721,12/09/20,04:23:14,4.387222222222222,12/09/20,04:23:14,Project C,,
12,1,721,12/09/20,04:23:35,4.393055555555556,12/09/20,04:23:35,Project C,,
112,1,6721,12/09/20,04:24:13,4.403611111111111,12/09/20,04:24:13,Project B,,
12,1,721,12/09/20,04:24:34,4.4094444444444445,12/09/20,04:24:34,Project C,,
121,1,7261,12/09/20,04:24:56,4.415555555555556,12/09/20,04:24:56,Project B,,
12,1,721,12/09/20,04:30:25,4.506944444444445,12/09/20,04:30:25,Project B,,
43,32,2612,12/09/20,04:30:32,4.5088888888888885,12/09/20,04:30:32,Project B,,
12,2323,3043,12/09/20,04:30:37,4.510277777777778,12/09/20,04:30:37,Project B,,
122121,2121,7329381,12/09/20,04:31:25,4.523611111111111,12/09/20,04:31:25,Project B,,
122121,2121,7329381,12/09/20,04:31:37,4.526944444444444,12/09/20,04:31:37,Project B,sdasad,
122121,2121,7329381,12/09/20,04:32:03,4.534166666666667,12/09/20,04:32:03,Project B,This is my test title. I am keeping it long just to check the last 8 entries,
122121,2121,7329381,12/09/20,04:32:21,4.539166666666667,12/09/20,04:32:21,Client Meeting,This is my test title. I am keeping it long just to check the last 8 entries,
122121,2121,7329381,12/09/20,04:32:26,4.540555555555556,12/09/20,04:32:26,Project C,This is my test title. I am keeping it long just to check the last 8 entries,
122121,2121,7329381,12/09/20,04:32:28,4.541111111111111,12/09/20,04:32:28,Project B,This is my test title. I am keeping it long just to check the last 8 entries,
122121,2121,7329381,12/09/20,04:32:30,4.541666666666667,12/09/20,04:32:30,Client Meeting,This is my test title. I am keeping it long just to check the last 8 entries,
122121,2121,7329381,12/09/20,04:32:31,4.541944444444444,12/09/20,04:32:31,Project C,This is my test title. I am keeping it long just to check the last 8 entries,
122121,2121,7329381,12/09/20,04:32:32,4.542222222222222,12/09/20,04:32:32,Project A,This is my test title. I am keeping it long just to check the last 8 entries,
122121,2121,7329381,12/09/20,04:32:34,4.542777777777777,12/09/20,04:32:34,Project A,This is my test title. I am keeping it long just to check the last 8 entries,
122121,2121,7329381,12/09/20,04:32:37,4.543611111111111,12/09/20,04:32:37,Project A,,
122121,2121,7329381,12/09/20,04:32:38,4.543888888888889,12/09/20,04:32:38,Project A,,
122121,2121,7329381,12/09/20,04:32:38,4.543888888888889,12/09/20,04:32:38,Project A,,
122121,2121,7329381,12/09/20,04:32:38,4.543888888888889,12/09/20,04:32:38,Project A,,
122121,2121,7329381,12/09/20,04:32:38,4.543888888888889,12/09/20,04:32:38,Project A,,
122121,2121,7329381,12/09/20,04:32:38,4.543888888888889,12/09/20,04:32:38,Project A,,
122121,2121,7329381,12/09/20,04:32:38,4.543888888888889,12/09/20,04:32:38,Project A,,
122121,2121,7329381,12/09/20,04:32:38,4.543888888888889,12/09/20,04:32:38,Project A,,
122121,2121,7329381,12/09/20,04:32:39,4.5441666666666665,12/09/20,04:32:39,Project A,,
122121,2121,7329381,12/09/20,04:32:39,4.5441666666666665,12/09/20,04:32:39,Project A,,
122121,2121,7329381,12/09/20,04:32:39,4.5441666666666665,12/09/20,04:32:39,Project A,,
122121,2121,7329381,12/09/20,04:32:39,4.5441666666666665,12/09/20,04:32:39,Project A,,
122121,2121,7329381,12/09/20,04:32:39,4.5441666666666665,12/09/20,04:32:39,Project A,,
122121,2121,7329381,12/09/20,04:32:40,4.544444444444444,12/09/20,04:32:40,Project A,,
122121,2121,7329381,12/09/20,04:32:40,4.544444444444444,12/09/20,04:32:40,Project A,,
122121,2121,7329381,12/09/20,04:32:40,4.544444444444444,12/09/20,04:32:40,Project A,,
122121,2121,7329381,12/09/20,04:32:40,4.544444444444444,12/09/20,04:32:40,Project A,,
122121,2121,7329381,12/09/20,04:32:40,4.544444444444444,12/09/20,04:32:40,Project A,,
122121,2121,7329381,12/09/20,04:32:41,4.544722222222222,12/09/20,04:32:41,Project A,,
122121,2121,7329381,12/09/20,04:32:41,4.544722222222222,12/09/20,04:32:41,Project A,,
122121,2121,7329381,12/09/20,04:32:41,4.544722222222222,12/09/20,04:32:41,Project A,,
122121,2121,7329381,12/09/20,04:32:41,4.544722222222222,12/09/20,04:32:41,Project A,,
12,1,721,12/09/20,04:59:56,4.998888888888889,12/09/20,04:59:56,Project C,,
12,1,721,12/09/20,05:00:39,5.010833333333333,12/09/20,05:00:39,Project A,,
12,1,721,12/09/20,05:00:41,5.011388888888889,12/09/20,05:00:41,Project A,1212,
21,1,1261,12/09/20,05:02:55,5.048611111111111,12/09/20,05:02:55,Project A,,
12,1,721,12/09/20,05:03:15,5.054166666666666,12/09/20,05:03:15,Project A,,
12,1,721,12/09/20,05:03:41,5.061388888888889,12/09/20,05:03:41,Project A,,
12,1,721,12/09/20,05:03:55,5.065277777777777,12/09/20,05:03:55,Project C,,
12,1,721,12/09/20,05:04:05,5.0680555555555555,12/09/20,05:04:05,Project C,,
12,1,721,12/09/20,05:04:13,5.070277777777777,12/09/20,05:04:13,Project C,,
12,1,721,12/09/20,05:04:32,5.075555555555555,12/09/20,05:04:32,Project C,,
12,1,721,12/09/20,05:04:33,5.075833333333333,12/09/20,05:04:33,Project C,,
12,1,721,12/09/20,05:04:33,5.075833333333333,12/09/20,05:04:33,Project C,,
12,1,721,12/09/20,05:04:33,5.075833333333333,12/09/20,05:04:33,Project C,,
12,1,721,12/09/20,05:04:34,5.076111111111111,12/09/20,05:04:34,Project C,,
12,1,721,12/09/20,05:04:34,5.076111111111111,12/09/20,05:04:34,Project C,,
12,1,721,12/09/20,05:04:34,5.076111111111111,12/09/20,05:04:34,Project C,,
12,1,721,12/09/20,05:04:34,5.076111111111111,12/09/20,05:04:34,Project C,,
12,1,721,12/09/20,05:04:35,5.076388888888888,12/09/20,05:04:35,Project C,,
12,1,721,12/09/20,05:04:36,5.076666666666666,12/09/20,05:04:36,Project C,1212,
12,1,721,12/09/20,05:04:38,5.077222222222222,12/09/20,05:04:38,Project C,12121212,
12,1,721,12/09/20,05:04:38,5.077222222222222,12/09/20,05:04:38,Project C,12121212,
12,1,721,12/09/20,05:04:38,5.077222222222222,12/09/20,05:04:38,Project C,12121212,
12,1,721,12/09/20,05:04:38,5.077222222222222,12/09/20,05:04:38,Project C,12121212,
12,1,721,12/09/20,05:04:38,5.077222222222222,12/09/20,05:04:38,Project C,12121212,
12,1,721,12/09/20,05:04:39,5.0775,12/09/20,05:04:39,Project C,12121212,
12,1,721,12/09/20,05:04:39,5.0775,12/09/20,05:04:39,Project C,12121212,
12,1,721,12/09/20,05:04:39,5.0775,12/09/20,05:04:39,Project C,12121212,
12,1,721,12/09/20,05:04:40,5.0777777777777775,12/09/20,05:04:40,Project C,12121212,
12,1,721,12/09/20,05:05:00,5.083333333333333,12/09/20,05:05:00,Project B meeting,12121212,
